Order ID,Order Date,SKU,Product Name,Sale Amount,Expected Settlement Amount,Order Status
MH1001,03/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1071.29,Delivered
MH1002,05/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,341.87,Delivered
MH1003,07/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,322.97,Returned
MH1004,09/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,262.65,Delivered
MH1005,11/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,460.93,Delivered
MH1006,13/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,266.24,Delivered
MH1007,15/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,460.54,Delivered
MH1008,17/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,637.34,Delivered
MH1009,19/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,549.13,Delivered
MH1010,21/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,312.21,Delivered
MH1010,21/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,312.21,Delivered
MH1011,23/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,316.81,Delivered
MH1012,25/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1064.6,Delivered
MH1013,27/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,636.24,Delivered
MH1014,29/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,322.97,Returned
MH1015,02/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,548.49,Delivered
MH1016,03/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,648.45,Delivered
MH1017,05/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,455.69,Delivered
MH1018,07/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,274.57,Delivered
MH1019,09/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,260.98,Delivered
MH1020,11/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,453.09,Delivered
MH1021,13/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,455.5,Delivered
MH1022,15/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,458.93,Delivered
MH1023,17/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1070.06,Delivered
